Season,Episode,Rating,Jar Jar,Maul,Episode Number,Votes,Krell,Ashoka,Mandalore
s1,s1e1,7.5,,,1,1228,,,
s1,s1e2,7.6,,,2,1069,,,
s1,s1e3,7.6,,,3,972,,,
s1,s1e4,7.7,,,4,935,,,
s1,s1e5,7.8,,,5,967,,,
s1,s1e6,7,,,6,859,,,
s1,s1e7,7.3,,,7,853,,,
s1,s1e8,6.8,x,,8,889,,,
s1,s1e9,8.3,,,9,856,,,
s1,s1e10,8.3,,,10,877,,,
s1,s1e11,7.6,,,11,795,,,
s1,s1e12,7.5,x,,12,762,,,
s1,s1e13,7.6,,,13,764,,,
s1,s1e14,7.7,,,14,753,,,
s1,s1e15,8.1,,,15,773,,,
s1,s1e16,7.9,,,16,756,,,
s1,s1e17,7.1,x,,17,721,,,
s1,s1e18,7.3,x,,18,697,,,
s1,s1e19,7.9,,,19,707,,,
s1,s1e20,8,,,20,718,,,
s1,s1e21,7.8,,,21,682,,,
s1,s1e22,8.1,,,22,725,,,
s2,s2e1,8,,,1,665,,,
s2,s2e2,8.1,,,2,651,,,
s2,s2e3,7.9,,,3,633,,,
s2,s2e4,7.3,,,4,617,,,
s2,s2e5,7.9,,,5,731,,,
s2,s2e6,7.8,,,6,610,,,
s2,s2e7,7.9,,,7,609,,,
s2,s2e8,8.1,,,8,624,,,
s2,s2e9,8,,,9,615,,,
s2,s2e10,8,,,10,618,,,
s2,s2e11,8.1,,,11,629,,,
s2,s2e12,7.9,,,12,615,,,x
s2,s2e13,8.1,,,13,618,,,x
s2,s2e14,7.8,,,14,585,,,x
s2,s2e15,7.2,,,15,580,,,
s2,s2e16,7.7,,,16,644,,,
s2,s2e17,7.9,,,17,599,,,
s2,s2e18,7.7,,,18,591,,,
s2,s2e19,7.9,,,19,605,,,
s2,s2e20,7.9,,,20,581,,,
s2,s2e21,7.6,,,21,566,,,
s2,s2e22,8.3,,,22,580,,,
s3,s3e1,7.8,,,1,680,,,
s3,s3e2,8.1,,,2,628,,,
s3,s3e3,7.2,x,,3,603,,,
s3,s3e4,7.4,,,4,541,,,
s3,s3e5,7.2,,,5,564,,,
s3,s3e6,7.1,,,6,552,,,
s3,s3e7,8,,,7,565,,,
s3,s3e8,6.7,,,8,549,,,
s3,s3e9,7.7,,,9,556,,,
s3,s3e10,7.7,,,10,558,,,
s3,s3e11,7.5,,,11,549,,,
s3,s3e12,8.8,,,12,656,,,
s3,s3e13,8.8,,,13,663,,,
s3,s3e14,8.9,,,14,664,,,
s3,s3e15,8.8,,,15,773,,,
s3,s3e16,8.6,,,16,673,,,
s3,s3e17,8.7,,,17,684,,,
s3,s3e18,8.1,,,18,570,,,
s3,s3e19,8.1,,,19,548,,,
s3,s3e20,8.2,,,20,554,,,
s3,s3e21,7.9,,,21,541,,,
s3,s3e22,8,,,22,555,,,
s4,s4e1,7.5,,,1,555,,,
s4,s4e2,7.6,x,,2,519,,,
s4,s4e3,7.6,x,,3,508,,,
s4,s4e4,7.5,,,4,499,,,
s4,s4e5,6.7,,,5,520,,,
s4,s4e6,6.8,,,6,515,,,
s4,s4e7,8.6,,,7,594,x,,
s4,s4e8,8.7,,,8,582,x,,
s4,s4e9,8.8,,,9,584,x,,
s4,s4e10,9.2,,,10,754,x,,
s4,s4e11,7.9,,,11,500,,,
s4,s4e12,8,,,12,507,,,
s4,s4e13,8.1,,,13,521,,,
s4,s4e14,8.1,,,14,515,,,
s4,s4e15,8.5,,,15,544,,,
s4,s4e16,8.5,,,16,534,,,
s4,s4e17,8.7,,,17,567,,,
s4,s4e18,8.2,,,18,518,,,
s4,s4e19,7.5,,,19,550,,,
s4,s4e20,8.4,,,20,562,,,
s4,s4e21,8.3,,x,21,572,,,
s4,s4e22,8.9,,x,22,655,,,
s5,s5e1,8.7,,x,1,610,,,
s5,s5e2,7.5,,,2,508,,,
s5,s5e3,7.6,,,3,495,,,
s5,s5e4,7.7,,,4,484,,,
s5,s5e5,8,,,5,505,,,
s5,s5e6,7.9,,,6,523,,,
s5,s5e7,7.9,,,7,507,,,
s5,s5e8,7.6,,,8,486,,,
s5,s5e9,8.1,,,9,507,,,
s5,s5e10,6.7,,,10,508,,,
s5,s5e11,6.9,,,11,504,,,
s5,s5e12,7.4,,,12,507,,,
s5,s5e13,7.3,,,13,476,,,
s5,s5e14,8.8,,x,14,588,,,
s5,s5e15,9,,x,15,630,,,
s5,s5e16,9.6,,x,16,1133,,,
s5,s5e17,8,,,17,542,,x,
s5,s5e18,8.9,,,18,616,,x,
s5,s5e19,8.8,,,19,601,,x,
s5,s5e20,9.4,,,20,977,,x,
s6,s6e1,8,,,1,498,,,
s6,s6e2,8,,,2,477,,,
s6,s6e3,8,,,3,484,,,
s6,s6e4,8.3,,,4,499,,,
s6,s6e5,7.3,,,5,432,,,
s6,s6e6,7.5,,,6,432,,,
s6,s6e7,7.6,,,7,420,,,
s6,s6e8,7.1,x,,8,418,,,
s6,s6e9,7.3,x,,9,415,,,
s6,s6e10,8.4,,,10,464,,,
s6,s6e11,8.6,,,11,513,,,
s6,s6e12,8.4,,,12,484,,,
s6,s6e13,8.8,,,13,564,,,
